"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Willington School District","=""1600011""","Operation and maintenance of plant","$844,323",392,2,"$2,154"
"Willington School District","=""1600011""","Student transportation services","$883,926",392,3,"$2,255"
"Willington School District","=""1600011""","Food services","$600",392,2,"$2"
"Willington School District","=""1600011""","Enterprise operations","$0",392,2,"$0"
"Willington School District","=""1600011""","Minor school construction","N/A","N/A","N/A","N/A"
"Willington School District","=""1600011""","Total","$10,911,786",401,1,"$27,211"
"Wilton School District","=""1610011""","Instruction","$55,953,731",3816,1,"$14,663"
"Wilton School District","=""1610011""","Support services - students","$7,543,502",3791,2,"$1,990"
"Wilton School District","=""1610011""","Support services - instruction","$5,552,974",3791,2,"$1,465"
"Wilton School District","=""1610011""","Support services - general administration","$2,190,395",3791,2,"$578"
"Wilton School District","=""1610011""","Support services - school based administration","$4,485,962",3791,2,"$1,183"
"Wilton School District","=""1610011""","Central and other support services","$5,688,192",3791,2,"$1,500"
"Wilton School District","=""1610011""","Operation and maintenance of plant","$6,933,237",3791,2,"$1,829"
"Wilton School District","=""1610011""","Student transportation services","$5,366,600",3780,3,"$1,420"
"Wilton School District","=""1610011""","Food services","$0",3791,2,"$0"
"Wilton School District","=""1610011""","Enterprise operations","$0",3791,2,"$0"
"Wilton School District","=""1610011""","Minor school construction","N/A","N/A","N/A","N/A"
"Wilton School District","=""1610011""","Total","$93,714,592",3816,1,"$24,558"
"Winchester School District","=""1620011""","Instruction","$19,281,386",1114,1,"$17,308"
"Winchester School District","=""1620011""","Support services - students","$1,547,693",603,2,"$2,567"
"Winchester School District","=""1620011""","Support services - instruction","$119,295",603,2,"$198"
"Winchester School District","=""1620011""","Support services - general administration","$552,397",603,2,"$916"
"Winchester School District","=""1620011""","Support services - school based administration","$703,544",603,2,"$1,167"
"Winchester School District","=""1620011""","Central and other support services","$571,905",603,2,"$948"
"Winchester School District","=""1620011""","Operation and maintenance of plant","$1,485,275",603,2,"$2,463"
"Winchester School District","=""1620011""","Student transportation services","$1,449,268",573,3,"$2,529"
"Winchester School District","=""1620011""","Food services","$0",603,2,"$0"
"Winchester School District","=""1620011""","Enterprise operations","$0",603,2,"$0"
"Winchester School District","=""1620011""","Minor school construction","N/A","N/A","N/A","N/A"
"Winchester School District","=""1620011""","Total","$25,710,764",1114,1,"$23,080"
"Windham School District","=""1630011""","Instruction","$46,279,045",3391,1,"$13,648"
"Windham School District","=""1630011""","Support services - students","$8,289,742",3202,2,"$2,589"
"Windham School District","=""1630011""","Support services - instruction","$2,108,809",3202,2,"$659"
"Windham School District","=""1630011""","Support services - general administration","$1,098,950",3202,2,"$343"
"Windham School District","=""1630011""","Support services - school based administration","$4,763,520",3202,2,"$1,488"
"Windham School District","=""1630011""","Central and other support services","$5,282,222",3202,2,"$1,650"
"Windham School District","=""1630011""","Operation and maintenance of plant","$6,740,347",3202,2,"$2,105"
"Windham School District","=""1630011""","Student transportation services","$4,625,470",2988,3,"$1,548"
"Windham School District","=""1630011""","Food services","$0",3202,2,"$0"
"Windham School District","=""1630011""","Enterprise operations","$0",3202,2,"$0"
"Windham School District","=""1630011""","Minor school construction","N/A","N/A","N/A","N/A"
"Windham School District","=""1630011""","Total","$79,188,106",3391,1,"$23,352"
"Windsor Locks School District","=""1650011""","Instruction","$24,271,875",1630,1,"$14,891"
"Windsor Locks School District","=""1650011""","Support services - students","$2,915,998",1474,2,"$1,978"
"Windsor Locks School District","=""1650011""","Support services - instruction","$1,018,335",1474,2,"$691"
"Windsor Locks School District","=""1650011""","Support services - general administration","$488,611",1474,2,"$331"
"Windsor Locks School District","=""1650011""","Support services - school based administration","$1,878,320",1474,2,"$1,274"
"Windsor Locks School District","=""1650011""","Central and other support services","$1,127,804",1474,2,"$765"
"Windsor Locks School District","=""1650011""","Operation and maintenance of plant","$5,044,567",1474,2,"$3,422"
"Windsor Locks School District","=""1650011""","Student transportation services","$1,823,281",1222,3,"$1,492"
"Windsor Locks School District","=""1650011""","Food services","$0",1474,2,"$0"
"Windsor Locks School District","=""1650011""","Enterprise operations","$0",1474,2,"$0"
"Windsor Locks School District","=""1650011""","Minor school construction","N/A","N/A","N/A","N/A"
"Windsor Locks School District","=""1650011""","Total","$38,568,791",1630,1,"$23,662"
"Windsor School District","=""1640011""","Instruction","$49,080,871",3909,1,"$12,556"
"Windsor School District","=""1640011""","Support services - students","$7,344,510",3305,2,"$2,222"
"Windsor School District","=""1640011""","Support services - instruction","$7,246,529",3305,2,"$2,193"
"Windsor School District","=""1640011""","Support services - general administration","$23,549",3305,2,"$7"
"Windsor School District","=""1640011""","Support services - school based administration","$6,323,136",3305,2,"$1,913"
"Windsor School District","=""1640011""","Central and other support services","$0",3305,2,"$0"
"Windsor School District","=""1640011""","Operation and maintenance of plant","$8,543,694",3305,2,"$2,585"
"Windsor School District","=""1640011""","Student transportation services","$6,112,413",3354,3,"$1,822"
"Windsor School District","=""1640011""","Food services","$0",3305,2,"$0"
"Windsor School District","=""1640011""","Enterprise operations","$4,007,629",3305,2,"$1,213"
"Windsor School District","=""1640011""","Minor school construction","N/A","N/A","N/A","N/A"
"Windsor School District","=""1640011""","Total","$88,682,331",3909,1,"$22,687"
"Wolcott School District","=""1660011""","Instruction","$27,400,165",2271,1,"$12,065"
"Wolcott School District","=""1660011""","Support services - students","$2,063,938",2121,2,"$973"
"Wolcott School District","=""1660011""","Support services - instruction","$571,647",2121,2,"$270"
"Wolcott School District","=""1660011""","Support services - general administration","$1,146,471",2121,2,"$541"
"Wolcott School District","=""1660011""","Support services - school based administration","$2,308,224",2121,2,"$1,088"
"Wolcott School District","=""1660011""","Central and other support services","$960,299",2121,2,"$453"
"Wolcott School District","=""1660011""","Operation and maintenance of plant","$4,265,723",2121,2,"$2,011"
"Wolcott School District","=""1660011""","Student transportation services","$2,639,124",2291,3,"$1,152"
"Wolcott School District","=""1660011""","Food services","$0",2121,2,"$0"
"Wolcott School District","=""1660011""","Enterprise operations","$601,893",2121,2,"$284"
"Wolcott School District","=""1660011""","Minor school construction","N/A","N/A","N/A","N/A"
"Wolcott School District","=""1660011""","Total","$41,957,484",2271,1,"$18,475"
"Woodbridge School District","=""1670011""","Instruction","$10,788,081",887,1,"$12,162"
"Woodbridge School District","=""1670011""","Support services - students","$1,952,683",882,2,"$2,214"
"Woodbridge School District","=""1670011""","Support services - instruction","$290,035",882,2,"$329"
"Woodbridge School District","=""1670011""","Support services - general administration","$1,310,023",882,2,"$1,485"
"Woodbridge School District","=""1670011""","Support services - school based administration","$1,049,354",882,2,"$1,190"
"Woodbridge School District","=""1670011""","Central and other support services","$501,992",882,2,"$569"
"Woodbridge School District","=""1670011""","Operation and maintenance of plant","$1,303,261",882,2,"$1,478"
"Woodbridge School District","=""1670011""","Student transportation services","$795,940",886,3,"$898"
"Woodbridge School District","=""1670011""","Food services","$0",882,2,"$0"
"Woodbridge School District","=""1670011""","Enterprise operations","$0",882,2,"$0"
"Woodbridge School District","=""1670011""","Minor school construction","N/A","N/A","N/A","N/A"
"Woodbridge School District","=""1670011""","Total","$17,991,369",887,1,"$20,283"
"Woodstock School District","=""1690011""","Instruction","$17,092,038",1162,1,"$14,709"
"Woodstock School District","=""1690011""","Support services - students","$969,448",770,2,"$1,259"
"Woodstock School District","=""1690011""","Support services - instruction","$79,164",770,2,"$103"
"Woodstock School District","=""1690011""","Support services - general administration","$357,536",770,2,"$464"
"Woodstock School District","=""1690011""","Support services - school based administration","$972,603",770,2,"$1,263"
"Woodstock School District","=""1690011""","Central and other support services","$527,781",770,2,"$685"
"Woodstock School District","=""1690011""","Operation and maintenance of plant","$1,366,962",770,2,"$1,775"
"Woodstock School District","=""1690011""","Student transportation services","$1,657,078",1190,3,"$1,393"
"Woodstock School District","=""1690011""","Food services","$0",770,2,"$0"
"Woodstock School District","=""1690011""","Enterprise operations","$5,611",770,2,"$7"
"Woodstock School District","=""1690011""","Minor school construction","N/A","N/A","N/A","N/A"
